id, slow, low_cpu, hk, ratio_mined
0, True, False, 0.136986301369863, 0.11242603550295859
1, False, False, 0.136986301369863, 0.16568047337278108
2, True, False, 0.136986301369863, 0.15384615384615385
3, False, False, 0.136986301369863, 0.15976331360946747
4, False, True, 0.0136986301369863, 0.011834319526627219
5, False, True, 0.0136986301369863, 0.005917159763313609
6, False, False, 0.136986301369863, 0.14792899408284024
7, False, False, 0.136986301369863, 0.11242603550295859
8, True, True, 0.0136986301369863, 0.04142011834319527
9, False, False, 0.136986301369863, 0.14201183431952663